OBJECTID,ZONECLASS,ZONEDESC,LASTUPDATE,LASTEDITOR,SUFFIX,OVERLAY_H,OVERLAY_SD,OVERLAY_OT,PRECPLAN,ZONELABEL,BASEELEV,HEIGHT,PRECISEPLA,ShapeSTAre,ShapeSTLen,Zoning
323,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,353166.145508,3868.44002574,NA
327,P,P,2020-03-16,Krisha Penollar - CDD,NA,NA,NA,NA,P(41),P(41),NA,NA,<a href='https://www.mountainview.gov/civicax/filebank/blobdload.aspx?BlobID=32005'>East Whisman </a>,17949099.1055,27729.7329075,NA
328,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(37),P(37),NA,NA,<a href='http://www.mountainview.gov/civica/filebank/blobdload.asp?BlobID=5889'>South Whisman</a>,1678669.55469,5727.92073802,2
329,R1,R1,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R1,NA,NA,NA,2923530.59277,9226.16759791,1
331,R1,R1,2016-12-05,Eric Anderson - CDD,NA,h1s,NA,NA,NA,R1h1s,NA,NA,NA,517644.829102,2897.27258731,1
332,R1,R1,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R1,NA,NA,NA,3287536.40527,11777.95722,1
333,R1,R1,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R1,NA,NA,NA,116082.744141,1677.56075046,1
334,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,420000.148438,2884.1342724,2
336,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(38),P(38),NA,NA,<a href='https://www.mountainview.gov/civicax/filebank/blobdload.aspx?BlobID=29701'>El Camino Real</a>,589881.749023,4358.58448628,NA
337,R3,R3,2016-12-05,Eric Anderson - CDD,1.5,NA,NA,NA,NA,R3-1.5,NA,NA,NA,532073.223633,2906.93552147,2
338,CRA,CRA,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,CRA,NA,NA,NA,0.2607421875,161.4758889776915,NA
