FID_1,BaseZone,LotSizeZon,dZone,srZone,nZone,hZone,bwZone,psZone,smZone,GlobalID,SHAPE_Leng,SHAPE_Area,Tot_zone,Zoning
1570,HS,NA,NA,NA,NA,NA,NA,NA,NA,{7F650EA5-E127-4196-876C-296927CB87BF},0.002981172758142,4.69795309e-7,HS,0
1571,HS,NA,NA,NA,NA,NA,NA,NA,NA,{1A351E32-2CFA-488B-8DA0-966D743AEA7C},0.005757071168575,7.4263881e-7,HS,0
1572,HS,NA,NA,NA,NA,NA,NA,NA,NA,{572F0ADC-E963-4319-8F4B-A57A3213FE5A},0.015310012442685,4.146301244e-6,HS,0
1573,HS,NA,NA,NA,NA,NA,NA,NA,NA,{8B151A8C-FFF0-4B31-B203-571F221E9989},0.011980881839145,5.585866684e-6,HS,0
1574,HS,NA,NA,NA,NA,NA,NA,NA,NA,{3BEF107C-E73B-4780-B166-0E31B832CC05},0.002534582669618,3.62833538e-7,HS,0
1575,HS,NA,NA,NA,NA,NA,NA,NA,NA,{E6BFA4DC-6C4F-4F43-8006-1DD7AEAA406E},0.001710327448217,1.78495582e-7,HS,0
1576,HS,NA,NA,NA,NA,NA,NA,NA,NA,{2E08825F-53DF-42E1-8ED1-938397648153},0.018563598850568,1.9088347731e-5,HS,0
1578,HS,NA,NA,NA,NA,NA,NA,NA,NA,{FFCC8DE9-CDBC-49F2-B43C-7DCE7B754C43},6.41910968389e-4,1.8341247e-8,HS,0
1579,HS,NA,NA,NA,NA,NA,NA,NA,NA,{5941146E-09A8-4957-9E3A-C71068FC3C3A},0.103095944096191,4.29026278591e-4,HS,0
1580,HS,NA,NA,NA,NA,NA,NA,NA,NA,{0F2066AB-CBB8-4F71-9574-9A9DB67CFE83},0.011951038093992,6.571131654e-6,HS,0
1589,AR,NA,NA,NA,NA,NA,NA,NA,NA,{699D2CC1-D8DE-4035-B495-C1830B6867DA},0.004466439959082,3.19982681e-7,AR,0
1590,AR,NA,NA,NA,NA,NA,NA,NA,NA,{F49BA0A2-DC33-45BD-A5B3-210A1F93EE51},0.028436969155836,8.173255237e-6,AR,0
1593,HS,NA,-d1,NA,NA,NA,NA,NA,NA,{41CA3991-424B-455B-9BD5-31C0B5BDD491},0.00279602354999,4.10526946e-7,HS-d1,0
1594,HS,NA,-d1,NA,NA,NA,NA,NA,NA,{57BFB536-74C0-47D1-BF28-34B421C637DB},0.006819944290149,2.713899313e-6,HS-d1,0
1599,HS,NA,NA,NA,NA,NA,NA,NA,NA,{44B75DA2-7199-4C18-9827-03DA041608BF},0.03074853641899,3.5905117285e-5,HS,0
1600,A,-20Ac,-d1,NA,NA,NA,NA,NA,NA,{B22D60D6-F83C-4C0A-8B90-50CC5F10289E},0.036149755178266,5.0120823952e-5,A-20Ac-d1,0
1601,A,-20Ac,-d1,NA,NA,NA,NA,NA,NA,{135B6844-6303-45C4-979D-4C8E445F0BB2},0.018207935137825,2.0029715432e-5,A-20Ac-d1,0
1602,A,-20Ac,-d1,NA,NA,NA,NA,NA,NA,{31B99D87-792F-46BC-AB0B-D682AB6A6FD8},0.004772757481497,2.12872714e-7,A-20Ac-d1,0
