general_pl,id,Zoning
R-3H,659,2
R-2A,660,2
R-3H,661,2
R-1,662,1
R-3H,663,2
R-1A,664,2
C-NS,665,NA
R-1,666,1
R-2,667,2
C-NS,668,NA
R-1A,669,2
R-2,670,2
R-2A,671,2
R-1H,672,1
R-1A,673,2
R-3H,674,2
R-1,675,1
R-2,676,2
R-2AH,677,2
R-2A,678,2
R-1,679,1
R-2,680,2
R-2AH,681,2
MUR,682,NA
C-W,683,NA
R-2,684,2
R-2A,685,2
MUR,686,NA
R-3H,687,2
C-W,688,NA
R-1,689,1
R-2A,690,2
R-3H,691,2
MUR,692,NA
R-1,693,1
R-2,694,2
R-1A,695,2
MULI,696,NA
R-1A,697,2
R-1,698,1
R-3H,699,2
R-2,700,2
R-1,701,1
R-1,702,1
R-2,703,2
R-2,704,2
R-1A,705,2
C-NS,706,NA
R-2A,707,2
R-1H,708,1
R-1H,709,1
R-2,710,2
R-4,711,2
R-2AH,712,2
R-4H,713,2
R-1A,714,2
R-4,715,2
R-2AH,716,2
R-4,717,2
R-3H,718,2
R-2,719,2
R-2,720,2
R-2,721,2
R-3H,722,2
R-2,723,2
R-3H,724,2
R-2,725,2
R-2,726,2
MUR,727,NA
C-W,728,NA
R-4,729,2
R-3H,730,2
R-4H,731,2
MUR,732,NA
C-W,733,NA
R-2,734,2
R-4,735,2
R-2,736,2
MUR,737,NA
C-1,738,NA
R-1A,739,2
R-2,740,2
MULI,741,NA
C-NS,742,NA
C-N,743,NA
R-1A,744,2
R-2A,745,2
R-1,746,1
C-N,747,NA
MULI,748,NA
R-2,749,2
R-3H,750,2
R-2,751,2
R-2A,752,2
C-1,753,NA
R-1A,754,2
R-2,755,2
M,756,NA
R-3H,757,2
R-2,758,2
R-2,759,2
R-1A,760,2
C-N,761,NA
R-3H,762,2
R-2,763,2
C-N,764,NA
M,765,NA
R-1,766,1
R-4H,767,2
R-2A,768,2
R-4H,769,2
R-1,770,1
C-N(H),771,NA
R-1A,772,2
C-N(H),773,NA
R-2,774,2
R-2A,775,2
R-2,776,2
R-2,777,2
R-3H,778,2
MUR,779,NA
R-2,780,2
C-1,781,NA
C-W,782,NA
R-2A,783,2
MUR,784,NA
R-2,785,2
C-W,786,NA
R-1A,787,2
MUR,788,NA
R-2,789,2
R-1A,790,2
MULI,791,NA
R-2A,792,2
R-5,793,0
R-3H,794,2
R-2,795,2
MULI,796,NA
R-2,797,2
R-2A,798,2
R-1A,799,2
M,800,NA
R-1A,801,2
R-2A,802,2
R-4,803,2
M,804,NA
R-2,805,2
R-1,806,1
C-1,807,NA
R-1A,808,2
R-2A,809,2
R-1,810,1
R-2,811,2
C-1,812,NA
R-2,813,2
C-1,814,NA
R-1A,815,2
R-2A,816,2
R-2,817,2
C-W,818,NA
R-2A,819,2
R-1A,820,2
C-1,821,NA
R-2,822,2
R-2A,823,2
R-2A,824,2
R-2,825,2
R-2A,826,2
R-2,827,2
R-2A,828,2
R-2A,829,2
C-1,830,NA
R-2,831,2
C-1,832,NA
MULI,833,NA
R-2A,834,2
C-1,835,NA
R-2,836,2
MULI,837,NA
C-2,838,NA
R-2A,839,2
C-2,840,NA
C-W,841,NA
R-2,842,2
C-2,843,NA
R-2A,844,2
C-W,845,NA
R-1A,846,2
C-1,847,NA
R-2,848,2
C-2,849,NA
R-2A,850,2
R-1A,851,2
R-2A,852,2
R-2A,853,2
C-1,854,NA
R-1A,855,2
R-2,856,2
C-1,857,NA
R-2A,858,2
C-2,859,NA
C-1,860,NA
R-2,861,2
R-2A,862,2
R-1A,863,2
C-1,864,NA
R-2A,865,2
C-2,866,NA
R-2,867,2
R-1A,868,2
C-2,869,NA
MUR,870,NA
R-2,871,2
R-2,872,2
C-SA,873,NA
C-T,874,NA
MULI,875,NA
C-W,876,NA
R-2,877,2
C-T,878,NA
C-W,879,NA
R-4,880,2
C-W,881,NA
R-2,882,2
R-1A,883,2
C-SA,884,NA
R-4H,885,2
R-4H,886,2
R-4,887,2
R-4H,888,2
R-1,889,1
R-4,890,2
R-4,891,2
MUR,892,NA
R-1,893,1
R-2,894,2
MULI,895,NA
R-4,896,2
R-2A,897,2
R-2,898,2
R-2A,899,2
R-2A,900,2
C-1,901,NA
C-2,902,NA
C-1,903,NA
ES-R,904,NA
R-1A,905,2
R-4,906,2
ES-R,907,NA
R-3,908,2
R-1A,909,2
R-2A,910,2
C-1,911,NA
R-2,912,2
R-3,913,2
C-W,914,NA
ES-R,915,NA
MUR,916,NA
C-1,917,NA
ES-R,918,NA
ES-R,919,NA
R-3,920,2
R-2A,921,2
C-2,922,NA
R-2A,923,2
C-W,924,NA
C-W,925,NA
C-W,926,NA
R-2A,927,2
C-2,928,NA
R-4H,929,2
R-3,930,2
C-W,931,NA
R-2,932,2
R-4H,933,2
ES-R,934,NA
C-2,935,NA
C-W,936,NA
C-W,937,NA
MULI,938,NA
R-4H,939,2
C-W,940,NA
R-4H,941,2
R-4,942,2
R-3,943,2
R-2,944,2
C-W,945,NA
ES-R,946,NA
MULI,947,NA
R-3,948,2
R-2,949,2
ES-R,950,NA
C-T,951,NA
R-2,952,2
C-T,953,NA
R-3,954,2
C-W,955,NA
R-2,956,2
R-3,957,2
C-2,958,NA
R-3,959,2
R-4,960,2
C-W,961,NA
R-2,962,2
C-W,963,NA
C-T,964,NA
R-2,965,2
R-4,966,2
R-2,967,2
C-2,968,NA
