gnrl_p_,id,city_nm,zoning
LDR,188,dublin,1
LDR,189,dublin,1
PSP,190,dublin,0
SFR,191,dublin,1
SC,192,dublin,0
SFR,193,dublin,1
PSP,194,dublin,0
MDR,195,dublin,2
SFR,196,dublin,1
MDR,197,dublin,2
MDR,198,dublin,2
SFR,199,dublin,1
NP,200,dublin,0
SFR,201,dublin,1
SFR,202,dublin,1
SFR,203,dublin,1
SFR,204,dublin,1
SFR,205,dublin,1
MDR,206,dublin,2
SFR,207,dublin,1
SC,208,dublin,0
MDR,209,dublin,2
SFR,210,dublin,1
SFR,211,dublin,1
SFR,212,dublin,1
MDR,213,dublin,2
MDR,214,dublin,2
SFR,215,dublin,1
MDR,216,dublin,2
SFR,217,dublin,1
MDR,218,dublin,2
SFR,219,dublin,1
PSP,220,dublin,0
SFR,221,dublin,1
MDR,222,dublin,2
PSP,223,dublin,0
SFR,224,dublin,1
SFR,225,dublin,1
SFR,226,dublin,1
MDR,227,dublin,2
MDR,228,dublin,2
MDR,229,dublin,2
MDR,230,dublin,2
SFR,231,dublin,1
SFR,232,dublin,1
BPI,233,dublin,0
SFR,234,dublin,1
MDR,235,dublin,2
SFR,236,dublin,1
MDR,237,dublin,2
MDR,238,dublin,2
MDR,239,dublin,2
MDR,240,dublin,2
SFR,241,dublin,1
SFR,242,dublin,1
MDR,243,dublin,2
MDR,244,dublin,2
SFR,245,dublin,1
SFR,246,dublin,1
SFR,247,dublin,1
OS,248,dublin,0
MDR,249,dublin,2
SFR,250,dublin,1
SFR,251,dublin,1
PSP,252,dublin,0
SFR,253,dublin,1
SFR,254,dublin,1
SFR,255,dublin,1
MDR,256,dublin,2
MDR,257,dublin,2
CP,258,dublin,0
MDR,259,dublin,2
MDR,260,dublin,2
MDR,261,dublin,2
SFR,262,dublin,1
RO,263,dublin,0
SFR,264,dublin,1
BPI,265,dublin,0
SFR,266,dublin,1
SFR,267,dublin,1
OS,268,dublin,0
SC,269,dublin,0
P,270,dublin,0
SFR,271,dublin,1
SFR,272,dublin,1
ROA,273,dublin,0
SFR,274,dublin,1
SFR,275,dublin,1
SFR,276,dublin,1
PPR,277,dublin,0
SFR,278,dublin,1
SFR,279,dublin,1
SC,280,dublin,0
SFR,281,dublin,1
CP,282,dublin,0
SFR,283,dublin,1
SC,284,dublin,0
SFR,285,dublin,1
RO,286,dublin,0
PSP,287,dublin,0
SFR,288,dublin,1
PSP,289,dublin,0
ROA,290,dublin,0
SFR,291,dublin,1
RO,292,dublin,0
SFR,293,dublin,1
ES,294,dublin,0
MHRRO,295,dublin,2
RO,296,dublin,0
MHRRO,297,dublin,2
OS,298,dublin,0
OS,299,dublin,0
MHDR,300,dublin,2
MDR,301,dublin,2
NP,302,dublin,0
ES,303,dublin,0
EMHDR,304,dublin,2
EMHDR,305,dublin,2
EMHDR,306,dublin,2
EMHDR,307,dublin,2
EMHDR,308,dublin,2
