FID_1,DATE_CREAT,DATE_UPDAT,EDITOR,SPECIFICPL,PRIMARY_ZO,COMBINING_,COMBININ_1,COMBININ_2,COMBININ_3,YARD_REQUI,AREAPLAN,PD_ZU_NUMB,MBSA_ACRE,MBSA_SQFT,MEDIAN_LOT,FRONT_YARD,SIDE_YARD,LABEL,Notes,GlobalID,SHAPE_Leng,SHAPE_Area,Zoning
1775,2003-01-01,2012-07-17,ppa,NA,PD,NA,NA,NA,NA,NA,NA,1711,NA,NA,NA,NA,NA,PD-1711,NA,{8652738D-9FC8-4974-9F2D-3D5F0E096353},0.001144419069102,7.7682472e-8,NA
1776,2003-01-01,NA,C1,NA,R2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2,NA,{B7989CC3-4C99-46EB-B0E3-6DD5371D0B81},3.6766748358e-5,1.021e-12,2
1777,2003-01-01,NA,C1,NA,R2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2,NA,{E764C7F3-B698-450C-B6B2-A4C84CBE4809},1.7280694202e-5,1.485e-12,2
1778,2003-01-01,NA,C1,NA,PD,NA,NA,NA,NA,NA,NA,2076,NA,NA,NA,NA,NA,PD-2076,NA,{BBCE19AC-E59F-47A4-8743-DE27845CAF60},0.00269511663338,1.86728386e-7,NA
1779,2003-01-01,NA,C1,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,{A9606751-4CD0-4A78-9EAA-5DEEBD4140F7},0.026111358822718,3.9053670993e-5,NA
1780,2003-01-01,2012-12-13,ppa,NA,PD,NA,NA,NA,NA,150' MLW 30' FY 20' SY,NA,1800,NA,NA,NA,NA,NA,PD-1800,NA,{D077EFBC-5876-4555-9D67-C59D5C86A003},0.005424669806247,1.223836223e-6,NA
1781,2003-01-01,NA,C1,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,{119E4DAC-BA8C-49DF-8525-498C2300D514},0.002667750269818,4.23138172e-7,NA
1782,2003-01-01,2013-03-25,ppa,FASP,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FASP-R1,NA,{40EE9F70-73E6-4B9D-B145-29B7D4E5F0A9},0.021630351515228,6.299136251e-6,1
1783,2003-01-01,2013-03-25,ppa,FASP,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FASP-R1,NA,{CB0504E8-8CF1-40A6-98B6-7A3281B2B336},0.008284272706447,2.755654232e-6,1
1784,2003-01-01,2013-03-25,ppa,FASP,R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FASP-R1,NA,{AF8118FE-3E9E-4ECE-A0C0-4147E7D97980},0.007477481889156,2.204697189e-6,1
1785,2003-01-01,NA,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{159F9334-226C-4723-81C2-4560F250A84B},0.005115129800706,1.334830516e-6,1
1786,2003-01-01,NA,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{894EF44F-6C7F-47D0-B692-577C8E302CD1},0.007914708189635,2.201532797e-6,1
1787,2003-01-01,NA,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{18066610-9224-4589-A55B-23BDDBEC8FB1},0.003521981609814,6.83444152e-7,1
1788,2011-01-20,2011-01-20,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{799F17CD-71FE-405E-AA78-0A0450BB4DF1},0.00489874318046,1.367126503e-6,1
1789,2003-01-01,NA,C1,NA,RS,D20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RS-D20,NA,{B996F107-B75B-4B38-BCEC-F6204DA8288D},0.001511371251289,1.40996137e-7,2
1790,2011-01-20,2011-01-20,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{A29D75F5-313E-4A36-B2C9-61062B475A87},0.005238212651353,8.55165091e-7,1
1791,2003-01-01,NA,C1,NA,M1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M1,NA,{B5AF9781-6BC0-40CA-AD43-3A2325466843},0.003888625695649,7.67092746e-7,NA
1792,2003-01-01,NA,C1,NA,M2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M2,NA,{D1FB4B72-5083-49AD-A3A8-689A0B4F9049},0.005377901115188,1.240237363e-6,NA
1793,2003-01-01,NA,C1,NA,A,BE,NA,NA,NA,160 Ac.,NA,NA,NA,NA,NA,NA,NA,A-BE,NA,{22C7108D-0B92-4B2D-BAAE-743CA01752B7},0.028977685791007,2.3724091574e-5,NA
