OBJECTID,BASEZONING,DISTRICT,DENSITY,Shape_Leng,Shape_Area,Zoning
272,AR B6 2,AR,2,935.686245312,51475.5356796,NA
273,AR B6 2,AR,2,3249.8578973,362159.423412,NA
274,AR B6 2,AR,2,6040.39879047,2306284.73351,NA
275,AR B6 2,AR,2,5018.17834448,1038411.90221,NA
276,AR B6 2,AR,2,6226.57340284,1396072.06325,NA
277,AR B6 2,AR,2,6625.34568322,1603393.15193,NA
278,AR B6 2,AR,2,6320.48864648,975442.484686,NA
279,AR B6 2,AR,2,15512.0526438,8508540.66509,NA
280,AR B6 2,AR,2,10859.942919,3476329.94679,NA
281,AR B6 2,AR,2,5635.37355632,1109044.02082,NA
282,AR B6 2,AR,2,12047.571791,4802970.00364,NA
283,AR B6 2,AR,2,7064.62128791,2227100.92885,NA
284,AR B6 2,AR,2,12554.0782292,3122348.20031,NA
285,AR B6 2,AR,2,10811.3032134,4110211.91599,NA
286,AR B6 2,AR,2,12636.178137,1525883.51515,NA
287,AR B6 2,AR,2,16664.7491024,3335427.11095,NA
288,AR B6 2,AR,2,5681.22314339,917367.872905,NA
289,AR B6 2,AR,2,711.330272822,25607.0947952,NA
290,AR B6 2,AR,2,1983.64871489,101061.792122,NA
291,AR B6 2,AR,2,5456.92197228,1420086.1866,NA
292,AR B6 2,AR,2,2098.7634148,135073.416851,NA
293,AR B6 2,AR,2,13053.8921702,2261452.836,NA
294,AR B6 2,AR,2,9455.88761673,783735.001498,NA
295,AR B6 2,AR,2,6568.81368885,1044205.75626,NA
296,AR B6 2,AR,2,6038.50633846,1196563.48787,NA
297,AR B6 2,AR,2,2424.19962673,175450.782992,NA
298,AR B6 2,AR,2,904.417529591,29051.6797149,NA
299,AR B6 2,AR,2,312.796831198,2734.17236946,NA
300,AR B6 2,AR,2,2093.8203774,147907.733645,NA
301,AR B6 2,AR,2,13990.3273221,6096133.58997,NA
302,AR B6 2,AR,2,2995.71980136,90074.6525994,NA
303,AR B6 2,AR,2,9298.92240569,1823815.50121,NA
304,AR B6 2,AR,2,1342.15536426,44019.6021475,NA
305,AR B6 2,AR,2,804.88516473,19856.3555801,NA
306,AR B6 2,AR,2,3327.16682089,523213.379931,NA
307,AR B6 2,AR,2,1021.20020199,48277.5895196,NA
308,AR B6 2,AR,2,1785.23105848,102453.848551,NA
309,AR B6 2,AR,2,1172.71406866,56786.2194114,NA
310,AR B6 2,AR,2,2265.21245159,202592.606607,NA
311,AR B6 2,AR,2,1370.34101785,39212.1216682,NA
312,AR B6 2,AR,2,2076.85282864,114014.865859,NA
313,AR B6 2,AR,2,2741.94655105,149119.229551,NA
314,AR B6 2,AR,2,1473.96052916,86629.6329351,NA
315,AR B6 2,AR,2,5592.11238675,1098352.948,NA
316,AR B6 2,AR,2,1286.43993033,108406.860237,NA
317,AR B6 2,AR,2,4158.67192146,368833.837575,NA
318,AR B6 2,AR,2,4133.49332786,579211.358134,NA
319,AR B6 2,AR,2,5448.87364684,1190828.46815,NA
320,AR B6 2,AR,2,3561.16103405,420912.586256,NA
321,AR B6 2,AR,2,476.012472667,11345.3247666,NA
322,AR B6 2,AR,2,940.238572357,36749.193048,NA
323,AR B6 2,AR,2,804.428860951,10414.7547097,NA
324,AR B6 2,AR,2,1150.53915313,55768.4336821,NA
325,AR B6 2,AR,2,9270.86184682,1988919.09627,NA
