APN,LevelNm,GP,gnrl_p_,ASMT,Shp_Lng,Shap_Ar,Acres,id,edt_g__,zoning
162-031-052,1,VLDR,SR,162031052,353.31715489,7705.4879623,0.17689366305,2429,SR,1
066-010-026,1,VLDR,SR,066010026,540.693290892,14763.4076456,0.33892120399,2430,SR,1
161-270-003,1,VLDR,SR,161270003,297.147443409,4880.32715777,0.11203689527,2431,SR,1
163-120-073,1,VLDR,SR,163120073,491.41435643,12758.9579892,0.29290537165,2432,SR,1
066-022-013,1,ER,ER,066022013,898.533846761,42501.2581964,0.97569463261,2433,ER,1
066-570-015,1,VLDR,SR,066570015,346.815345355,7793.44684719,0.17891292119,2434,SR,1
161-270-006,1,VLDR,SR,161270006,317.577982367,6359.78309068,0.14600053009,2435,SR,1
164-210-027,1,LDR,VR,164210027,282.281233609,4673.25051346,0.10728306964,2436,VR,1
164-210-002,1,LDR,VR,164210002,286.304675963,4850.46597043,0.11135137673,2437,VR,1
066-060-067,1,LDR,VR,066060067,340.807697426,7276.16678553,0.16703780499,2438,VR,1
161-300-008,1,VLDR,SR,161300008,451.379107677,9907.4838362900009,0.22744453251,2439,SR,1
066-373-007,1,LDR,VR,066373007,320.018583421,6001.64535763,0.13777881905,2440,VR,1
161-162-011,1,VLDR,SR,161162011,298.218988194,5290.18425706,0.12144591958,2441,SR,1
161-430-058,1,VLDR,SR,161430058,312.380472081,5268.00027568,0.12093664545,2442,SR,1
161-240-025,1,VLDR,SR,161240025,347.309335415,6624.95639064,0.15208807141,2443,SR,1
161-120-003,1,ER,ER,161120003,310.957031205,4077.23076351,0.09360033892,2444,ER,1
066-373-008,1,LDR,VR,066373008,320.003708278,6000.32606578,0.13774853227,2445,VR,1
066-352-002,1,VLDR,SR,066352002,389.024316719,7857.34901308,0.18037991306,2446,SR,1
161-162-048,1,VLDR,SR,161162048,290.680597301,4550.63273985,0.10446815289,2447,SR,1
161-162-005,1,VLDR,SR,161162005,293.05974203,4614.42982721,0.10593273249,2448,SR,1
161-150-074,1,ER,ER,161150074,616.805437222,18480.0269165,0.42424304216,2449,ER,1
164-350-022,1,GB,CC,164350022,1138.11891142,48838.9404464,1.12118779721,2450,CC,0
164-450-057,1,LDR,PD_VntgGrn,164450057,276.72484917,4546.88193299,0.10438204621,2451,PD_VntgGrn,1
164-450-025,1,LDR,PD_VntgGrn,164450025,276.130275276,4404.24092454,0.10110745924,2452,PD_VntgGrn,1
164-280-011,1,LDR,VR,164280011,290.158600068,4844.74938968,0.1112201421,2453,VR,1
164-450-006,1,LDR,PD_VntgGrn,164450006,276.140298335,4404.29524304,0.10110870622,2454,PD_VntgGrn,1
066-070-080,1,LDR,VR,066070080,402.999905388,8844.80070529,0.20304868469,2455,VR,1
066-070-068,1,MDR,MDR,066070068,399.143963425,7610.04751166,0.17470265178,2456,MDR,2
164-410-052,1,LDR,PD_VntgGrn,164410052,322.042028386,5706.07618692,0.13099348455,2457,PD_VntgGrn,1
161-060-005,1,VLDR,SR,161060005,360.060602845,7114.77286507,0.1633327104,2458,SR,1
066-022-015,1,ER,ER,066022015,360.496527691,7437.99201018,0.17075280097,2459,ER,1
161-162-053,1,VLDR,SR,161162053,288.907242415,4475.12795307,0.10273480149,2460,SR,1
066-060-026,1,VLDR,SR,066060026,445.059565307,11858.1732975,0.27222620059,2461,SR,1
161-310-043,1,VLDR,SR,161310043,334.639047463,6060.64737252,0.13913331893,2462,SR,1
164-450-062,1,LDR,PD_VntgGrn,164450062,276.105481998,4403.57799009,0.10109224036,2463,PD_VntgGrn,1
161-420-031,1,VLDR,SR,161420031,300.905601134,5030.3523188,0.11548099905,2464,SR,1
161-161-009,1,VLDR,SR,161161009,297.565444756,5267.88259356,0.12093394384,2465,SR,1
161-060-022,1,VLDR,SR,161060022,704.171026089,24543.3061992,0.56343678143,2466,SR,1
164-450-089,1,LDR,PD_VntgGrn,164450089,276.120470577,4403.73905076,0.1010959378,2467,PD_VntgGrn,1
066-470-057,1,OS,OS,066470057,519.690583776,13265.2026898,0.30452715082,2468,OS,0
161-170-024,1,VLDR,SR,161170024,291.931322786,4593.35073751,0.10544882317,2469,SR,1
164-420-025,1,LDR,PD_VntgGrn,164420025,267.795885969,3796.55436814,0.0871568955,2470,PD_VntgGrn,1
161-400-094,1,VLDR,SR,161400094,303.468264081,5267.86928732,0.12093363837,2471,SR,1
066-590-018,1,MDR,MDR,066590018,304.625640734,5483.47044501,0.1258831599,2472,MDR,2
164-450-054,1,LDR,PD_VntgGrn,164450054,286.127598765,4844.29439197,0.11120969679,2473,PD_VntgGrn,1
164-450-039,1,LDR,PD_VntgGrn,164450039,291.955501544,5181.45191228,0.11894976842,2474,PD_VntgGrn,1
162-160-033,1,VLDR,SR,162160033,348.216781893,7123.10656523,0.16352402583,2475,SR,1
161-190-026,1,VLDR,SR,161190026,325.360830709,6694.30882783,0.15368018429,2476,SR,1
161-440-004,1,VLDR,SR,161440004,299.392372323,4979.76163626,0.11431959679,2477,SR,1
161-220-049,1,VLDR,SR,161220049,332.387970157,6605.2712123,0.1516361619,2478,SR,1
161-190-030,1,VLDR,SR,161190030,320.407364876,6021.35800896,0.13823135925,2479,SR,1
161-490-012,1,VLDR,SR,161490012,322.000356084,6432.6602321,0.14767355905,2480,SR,1
161-161-030,1,VLDR,SR,161161030,287.441596553,4493.99737612,0.10316798384,2481,SR,1
161-220-029,1,VLDR,SR,161220029,331.696830777,7399.32166551,0.16986505201,2482,SR,1
163-190-013,1,ER,PD,163190013,579.056138067,19099.2340605,0.4384580822,2483,PD,1
164-280-013,1,LDR,VR,164280013,264.790344467,3749.20822452,0.08606997761,2484,VR,1
161-260-004,1,VLDR,SR,161260004,301.823448626,5062.90399467,0.11622828271,2485,SR,1
162-031-053,1,VLDR,SR,162031053,344.662164384,6948.44410559,0.15951432749,2486,SR,1
161-300-035,1,VLDR,SR,161300035,319.50142117,5990.56873267,0.13752453473,2487,SR,1
161-180-051,1,VLDR,SR,161180051,318.584006294,5937.92168807,0.13631592489,2488,SR,1
164-420-056,1,LDR,PD_VntgGrn,164420056,264.682707463,3890.33413798,0.08930978278,2489,PD_VntgGrn,1
164-420-011,1,LDR,PD_VntgGrn,164420011,261.769512973,3715.15817628,0.08528829606,2490,PD_VntgGrn,1
164-340-052,1,VLDR,PD_VntgGrn,164340052,319.800974985,5999.70200737,0.13773420586,2491,PD_VntgGrn,1
164-450-028,1,LDR,PD_VntgGrn,164450028,276.130461036,4404.16197069,0.10110564671,2492,PD_VntgGrn,1
066-470-036,1,VLDR,SR,066470036,344.26075166,6732.53599952,0.1545577594,2493,SR,1
161-161-034,1,VLDR,SR,161161034,281.461303634,4293.71277574,0.09857008209,2494,SR,1
164-290-048,1,VLDR,SR,164290048,308.541521652,5217.68725152,0.11978161734,2495,SR,1
161-190-025,1,VLDR,SR,161190025,327.379825127,6373.76032889,0.14632140333,2496,SR,1
161-150-050,1,ER,ER,161150050,552.420043742,15350.483685,0.35239861536,2497,ER,1
162-032-009,1,VLDR,SR,162032009,305.410377163,5176.64593526,0.11883943837,2498,SR,1
162-240-003,1,VLDR,SR,162240003,329.080233021,6619.02958241,0.15195201062,2499,SR,1
162-050-042,1,ER,ER,162050042,517.511785225,14770.3071319,0.3390795944,2500,ER,1
162-160-012,1,VLDR,SR,162160012,351.95341355,7837.2662007,0.17991887513,2501,SR,1
164-450-051,1,LDR,PD_VntgGrn,164450051,286.132048844,4844.47351398,0.11121380886,2502,PD_VntgGrn,1
163-190-049,1,ER,PD,163190049,527.917735415,16674.5890667,0.38279589226,2503,PD,1
161-372-009,1,VLDR,SR,161372009,298.922374022,4958.18085371,0.1138241702,2504,SR,1
