ZN_ID,GP_DESG,FILENUM,OTHER,ACRES,CHANGED,LABCLAS,ZNPROP,ZNEX,ZNEXUPD,T_GP,LABEL_F,ZNPROPD,T_hndlb,Cannabs,gnrl_p_,id,edt_g__,zoning
18,NA,NA,NA,9.905,N,Medium,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_NonRes,14,Planned Development District_NonRes,0
19,NA,06-03,NA,54.272,N,Large,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_NonRes,15,Planned Development District_NonRes,0
20,NA,86-6,NA,19.436,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_NonRes,16,Planned Development District_NonRes,0
21,NA,86-11,NA,17.699,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_NonRes,17,Planned Development District_NonRes,0
22,NA,NA,NA,20.122,N,Large,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_NonRes,18,Planned Development District_NonRes,0
23,NA,NA,NA,110.102,N,Large,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_NonRes,19,Planned Development District_NonRes,0
25,NA,NA,NA,36.449,N,Large,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_SF,20,Planned Development District_SF,1
26,NA,NA,NA,14.876,N,Large,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_NonRes,21,Planned Development District_NonRes,0
27,NA,97-9.3,(C-O),11.229,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_NonRes,22,Planned Development District_NonRes,0
28,NA,87-9.2,NA,61.517,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_NonRes,23,Planned Development District_NonRes,0
29,NA,NA,NA,8.381,N,Medium,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_NonRes,24,Planned Development District_NonRes,0
30,NA,NA,O.S.,25.302,N,Large,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_NonRes,25,Planned Development District_NonRes,0
31,NA,87-9.2,NA,49.427,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,26,Planned Development District_SF,1
32,NA,NA,Park,3.959,N,Medium,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_NonRes,27,Planned Development District_NonRes,0
33,NA,NA,NA,2661.226,Y,Large,S,S,S,NA,NA,Study District,No,0,Study District_NonRes,28,Study District_NonRes,0
34,NA,NA,(C-O),77.09,N,Large,P-D,P-D,P-D,NA,NA,Planned Development District,No,0,Planned Development District_NonRes,29,Planned Development District_NonRes,0
36,NA,NA,NA,76.682,N,Large,U,U,U,NA,NA,Unincorporated Area (Not Zoned),No,0,Unincorporated Area (Not Zoned),30,Unincorporated Area (Not Zoned),3
38,NA,NA,NA,5.562,N,Medium,R-20,R-4,R-20,NA,NA,Medium High and High Density Residential District,No,0,Medium High and High Density Residential District,31,Medium High and High Density Residential District,2
40,NA,NA,NA,1.944,N,Medium,R-20,R-4,R-20,NA,NA,Medium High and High Density Residential District,No,0,Medium High and High Density Residential District,32,Medium High and High Density Residential District,2
42,NA,79-1,NA,5.018,N,Small -FileNum,P-D,P-D,P-D,NA,fn - hand lab,Planned Development District,Yes,0,Planned Development District_SF,33,Planned Development District_SF,1
43,NA,78-1,NA,12.358,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,34,Planned Development District_SF,1
44,NA,78-3,NA,26.172,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_SF,35,Planned Development District_SF,1
