DATA,DATA_TY,Shp_Lng,Shap_Ar,gnrl_p_,id,edt_g__,zoningd,zoning
PUD-MDR,Planned Unit Development - Medium Density Residential,1103.90514165,39855.3111738,Planned Unit Development - Medium Density Residential,228,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,997.830064099,42202.601462,Planned Unit Development - Medium Density Residential,229,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,1007.11575322,53128.008931,Planned Unit Development - Medium Density Residential,230,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,1299.33664075,86494.9783566,Planned Unit Development - Medium Density Residential,231,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,1525.05740428,87661.0623944,Planned Unit Development - Medium Density Residential,232,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,2268.5486872,89955.7776252,Planned Unit Development - Medium Density Residential,233,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,1364.76674048,106761.798078,Planned Unit Development - Medium Density Residential,234,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,2153.82722338,169642.009111,Planned Unit Development - Medium Density Residential,235,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,1890.08047292,192259.494847,Planned Unit Development - Medium Density Residential,236,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,1940.89402143,208440.310758,Planned Unit Development - Medium Density Residential,237,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,1970.87533986,227466.725187,Planned Unit Development - Medium Density Residential,238,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,3089.27268314,531326.527011,Planned Unit Development - Medium Density Residential,239,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,2725.16065938,342538.466465,Planned Unit Development - Medium Density Residential,240,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,2485.77068659,364727.089092,Planned Unit Development - Medium Density Residential,241,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,2756.75640493,379229.673417,Planned Unit Development - Medium Density Residential,242,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,4071.24314833,409030.155205,Planned Unit Development - Medium Density Residential,243,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,2711.80844465,317482.742261,Planned Unit Development - Medium Density Residential,244,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,1082.26950181,65750.7234188,Planned Unit Development - Medium Density Residential,245,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,7716.90387016,2190092.16454,Planned Unit Development - Medium Density Residential,246,Planned Unit Development - Medium Density Residential,40,1
PUD-O,Planned Unit Development - Office,973.1295503,58742.4903792,Planned Unit Development - Office,247,Planned Unit Development - Office,126,0
PUD-O,Planned Unit Development - Office,822.998668214,42121.8239618,Planned Unit Development - Office,248,Planned Unit Development - Office,126,0
PUD-O,Planned Unit Development - Office,1646.57194625,83122.9067011,Planned Unit Development - Office,249,Planned Unit Development - Office,126,0
PUD-O,Planned Unit Development - Office,506.472136539,8830.76422785,Planned Unit Development - Office,250,Planned Unit Development - Office,126,0
PUD-OS,Planned Unit Development - Open Space,900.041495687,35003.6827661,Planned Unit Development - Open Space,251,Planned Unit Development - Open Space,260,0
PUD-OS,Planned Unit Development - Open Space,837.415520359,31868.5654,Planned Unit Development - Open Space,252,Planned Unit Development - Open Space,260,0
PUD-OS,Planned Unit Development - Open Space,1118.34814828,43226.373284,Planned Unit Development - Open Space,253,Planned Unit Development - Open Space,260,0
PUD-OS,Planned Unit Development - Open Space,1398.44520127,67171.4187721,Planned Unit Development - Open Space,254,Planned Unit Development - Open Space,260,0
PUD-OS,Planned Unit Development - Open Space,2257.69243797,130190.051629,Planned Unit Development - Open Space,255,Planned Unit Development - Open Space,260,0
PUD-R-1-65,Single Family Residential-PUD,5141.47939579,642932.285495,Single Family Residential-PUD,256,Single Family Residential-PUD,266,1
PUD-R-1-65,Single Family Residential-PUD,5292.91217639,1630601.69703,Single Family Residential-PUD,257,Single Family Residential-PUD,266,1
PUD-RDR/LDR,Rural Density Residential/Low Density Residential-PUD,9287.96345312,3793219.03363,Rural Density Residential/Low Density Residential-PUD,258,Rural Density Residential/Low Density Residential-PUD,268,1
PUD-VINEYARD,Vineyard-PUD,5455.715915,405213.024648,Vineyard-PUD,259,Vineyard-PUD,269,0
PUD-VINEYARD,Vineyard-PUD,1906.80027985,137877.622742,Vineyard-PUD,260,Vineyard-PUD,269,0
R-1-10,Single Family Residential,736.609231739,32776.1636251,Single Family Residential,261,Single Family Residential,55,1
R-1-10,Single Family Residential,1271.40470287,78048.9269921,Single Family Residential,262,Single Family Residential,55,1
R-1-20,Single Family Residential,1437.03860468,114253.244661,Single Family Residential,263,Single Family Residential,55,1
R-1-20,Single Family Residential,440.621488692,12087.7719976,Single Family Residential,264,Single Family Residential,55,1
R-1-20,Single Family Residential,1561.92675375,152909.735082,Single Family Residential,265,Single Family Residential,55,1
R-1-20,Single Family Residential,2471.28867828,227821.664454,Single Family Residential,266,Single Family Residential,55,1
R-1-20,Single Family Residential,3154.42483221,384701.10961,Single Family Residential,267,Single Family Residential,55,1
R-1-20,Single Family Residential,3626.73802168,742079.95232,Single Family Residential,268,Single Family Residential,55,1
R-1-20,Single Family Residential,885.993949208,43294.6898866,Single Family Residential,269,Single Family Residential,55,1
R-1-20,Single Family Residential,1006.22741274,46517.4064698,Single Family Residential,270,Single Family Residential,55,1
R-1-40,Single Family Residential,4665.55257798,748429.590551,Single Family Residential,271,Single Family Residential,55,1
R-1-40,Single Family Residential,1604.19019003,73940.5158446,Single Family Residential,272,Single Family Residential,55,1
R-1-40,Single Family Residential,2553.047815,313899.920108,Single Family Residential,273,Single Family Residential,55,1
R-1-65,Single Family Residential,922.159788024,46493.6820861,Single Family Residential,274,Single Family Residential,55,1
R-1-65,Single Family Residential,26214.8135312,6949436.01329,Single Family Residential,275,Single Family Residential,55,1
R-1-65,Single Family Residential,19814.068005,10238927.2426,Single Family Residential,276,Single Family Residential,55,1
PUD-MDR,Planned Unit Development - Medium Density Residential,4262.37183426,572432.338241,Planned Unit Development - Medium Density Residential,277,Planned Unit Development - Medium Density Residential,40,1
R-1-65,Single Family Residential,15210.6575775,10372395.1775,Single Family Residential,278,Single Family Residential,55,1
R-1-65,Single Family Residential,10305.4078494,4957934.05624,Single Family Residential,279,Single Family Residential,55,1
R-1-65,Single Family Residential,12305.8448976,4866281.88127,Single Family Residential,280,Single Family Residential,55,1
R-1-65,Single Family Residential,10554.7209162,5016239.58845,Single Family Residential,281,Single Family Residential,55,1
R-1-65,Single Family Residential,9970.63919242,3888309.99621,Single Family Residential,282,Single Family Residential,55,1
R-1-65,Single Family Residential,8745.0398702,3653249.59221,Single Family Residential,283,Single Family Residential,55,1
