id,LAYER,COLOR,LABEL,gnrl_p_,GLOBALI,Shp__Ar,Shp__Ln,MuncplC,edt_g__,zoning
360,EX_ZONE_CL,6,CL,Linear Commercial,863bbfc4-2669-40a4-9ac9-0071ef6ada78,35189.9179688,878.093357663843,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Linear Commercial,0
361,EX_ZONE_COUNTY,5,COUNTY,Solano County,2936f4ce-e01d-42c4-b061-8819ef08515c,35187.6679688,836.641055144797,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Solano County,3
362,EX_ZONE_RC,5,RC,Resource Conservation,1ff806bd-0e69-4ece-a737-aad55c54dc47,14275.5039063,731.840988312032,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Resource Conservation,0
363,EX_ZONE_PDR,5,PDR,Planned Development Residential,4f3bf3b0-4d31-4f52-ab90-fc8b801545f6,2198.34375,191.593552006743,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Planned Development Residential,2
981,EX_ZONE_MUPD,3,MUPD,Mixed Use Planned Development_MF,961790f7-70aa-4406-a4a1-67f596313bb6,341043.113281,2721.18634838,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Mixed Use Planned Development_MF,2
365,EX_ZONE_COUNTY,5,COUNTY,Solano County,ca91019c-6130-4e2f-ac9d-de3222d6749e,495138.542969,3633.27823051,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Solano County,3
366,EX_ZONE_MDR,41,MDR,Medium Density Residential,b895716a-daea-455d-88fe-7e58231f3156,23488.078125,784.994825508658,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Medium Density Residential,2
367,EX_ZONE_RC,5,RC,Resource Conservation,8b14df71-37f7-4090-8d48-bc78a62807a3,14380.2070313,731.970697051634,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Resource Conservation,0
368,EX_ZONE_HDR,5,HDR,High Density Residential,ecc20c88-e005-4b88-a189-e034b46d9483,17670.7382813,550.130846958867,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,High Density Residential,2
369,EX_ZONE_CL,6,CL,Linear Commercial,dab444fc-0792-42cd-babf-9e312f7788e2,20209.015625,930.994274660294,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Linear Commercial,0
370,EX_ZONE_HDR,5,HDR,High Density Residential,a4c56b05-9962-4b6e-b36f-9400db2715ff,5604.22265625,310.573098316928,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,High Density Residential,2
371,EX_ZONE_HDR,5,HDR,High Density Residential,2288b26d-76cd-4167-aa5b-2dfa716db504,43398.2578125,925.227596952783,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,High Density Residential,2
372,EX_ZONE_CL,6,CL,Linear Commercial,5a5c613f-d18f-4a96-91c8-d457756821cd,32188.6640625,930.908897812106,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Linear Commercial,0
373,EX_ZONE_PF,1,PF,Public Facilities,0248dddb-d056-493c-bca8-9f783c078baf,48372.4023438,1059.67159739,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Public Facilities,0
374,EX_ZONE_CL,6,CL,Linear Commercial,8a94f40f-de3f-44b9-a4fd-aadc12a43d5a,15122.390625,487.871342455984,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Linear Commercial,0
375,EX_ZONE_LDR,2,LDR,Low Density Residential,9489b01b-10b5-4b76-b7a6-3fe105f4ba86,137675.925781,2219.43258871,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Low Density Residential,1
376,EX_ZONE_MDR,41,MDR,Medium Density Residential,438c9536-9ead-4d66-b422-d8c0b1dcf829,3584.37890625,289.108307400685,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Medium Density Residential,2
377,EX_ZONE_LO,5,LO,Limited Office,7789937d-e7b0-4335-a0b8-ea9fbca243e0,5116.125,300.654460057791,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Limited Office,0
378,EX_ZONE_LDR,2,LDR,Low Density Residential,5672a8ba-bbae-4650-9785-daa5c2e4060f,1106235.92188,5801.80280744,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Low Density Residential,1
379,EX_ZONE_PF,1,PF,Public Facilities,8bc257f5-5783-4596-abab-3f453bc61685,36533.046875,2360.62112735,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Public Facilities,0
380,EX_ZONE_PF,1,PF,Public Facilities,7e677b53-cf29-460b-97bf-59e47c590fb1,79371.234375,2308.88978467,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Public Facilities,0
381,EX_ZONE_PF,1,PF,Public Facilities,77394f59-8ee6-4add-bfcc-1b80eba32071,69464.6367188,3141.63053549,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Public Facilities,0
382,EX_ZONE_MDR,41,MDR,Medium Density Residential,610e8035-5fb0-469d-89ab-4ef55e900ffc,96714.2070313,1222.97907333,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Medium Density Residential,2
977,EX_ZONE_MUPD,3,MUPD,Mixed Use Planned Development_SF,790562e2-7988-4057-a3a9-a07b4110956b,8060146.83594,17955.0125107,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Mixed Use Planned Development_SF,1
384,EX_ZONE_HDR,5,HDR,High Density Residential,c051e39d-0734-4068-a575-c60d11724ce8,114312.707031,2430.68708741,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,High Density Residential,2
385,EX_ZONE_MDR,41,MDR,Medium Density Residential,001b3c39-b8b4-4435-b872-66058d5cd2c3,50919.7734375,1011.19061521,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Medium Density Residential,2
386,EX_ZONE_MDR,41,MDR,Medium Density Residential,70fd4be1-bf2b-4e43-8be4-1dcb48d2feb4,129769.667969,2021.02133733,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Medium Density Residential,2
387,EX_ZONE_LO,5,LO,Limited Office,5fd97fda-47b4-4353-80c2-60fdd86b832f,7991.05859375,438.6037319658,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Limited Office,0
388,EX_ZONE_CP,8,CP,Pedestrian Shopping & Service,003d438f-16bf-417f-829c-af2e3fb7a2a2,45909.9570313,863.611459862304,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Pedestrian Shopping & Service,0
389,EX_ZONE_LDR,2,LDR,Low Density Residential,5b8eea08-dab6-40c3-8c7f-1550e0fb1bde,1206865.53906,6604.3073137,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Low Density Residential,1
390,EX_ZONE_MDR,41,MDR,Medium Density Residential,83e62737-d73e-4f82-aa55-40e83b23fa4a,68917.6054688,1029.16830228,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Medium Density Residential,2
