OBJECTID,LABEL,TYPE,Acres,IsHeartofC,CreateDate,UpdateDate,GlobalID,ZoningDesc,ShapeSTAre,ShapeSTLen,Zoning
1722,P(R1),R1,1.00187262,No,NA,NA,{CC33CCD1-B9EA-47E7-9540-04CF8563AAE8},Single-Family Residential,43641.5703125,836.3461932272253,1
1723,P(Res),R1C,1.66955632,No,NA,NA,{0A10FE14-A0FE-4738-A9D8-41DCD39D914C},Residential Single-Family Cluster,72808.4267578125,1186.2592799005297,1
1724,R1-7.5,R1,0.2195614,No,NA,NA,{988F84EF-D909-476B-97E3-8CD7CCA0AB4C},Single-Family Residential,9574.37890625,422.7793360804875,1
1725,P(R1-7.5),R1,5.61752754,No,NA,NA,{31AD0F3D-976F-4EC7-8288-682A080E1B07},Single-Family Residential,243066.90625,2026.5428651619748,1
1726,P(R1),R1,0.39866034,No,NA,NA,{18F383BB-21D4-47D6-B608-714FEF83938E},Single-Family Residential,17564.724609375,553.7351274308724,1
1727,R1-8,R1,6.91963294,No,NA,NA,{FEA4EEDC-46FA-4971-8199-BAECE4F76B22},Single-Family Residential,339439.1298828125,3393.68514380047,1
1728,P(Res 4.4-7.7),R1,1.8346357,No,NA,NA,{EDC6E5E9-465D-442A-8AAD-D477F7E27703},Single-Family Residential,79824.4580078125,1779.53602745615,1
1729,P(Res 4.4-12),R2,4.95476856,No,NA,NA,{A06F4C91-B86A-421E-9AEA-732EAF9A06D0},Residential Duplex,217722.51171875,2009.4951095988151,2
1730,R1-7.5,R1,0.64024306,No,NA,NA,{149F6247-6DAE-4EA0-B8AE-CBEF2CB2A83D},Single-Family Residential,27897.044921875,801.6552287519328,1
1731,P(R1),R1,1.16320759,No,NA,NA,{D1B6CC4A-F92B-4372-9BA5-5B10DC340720},Single-Family Residential,47200.3681640625,875.0703463385373,1
1732,P(Res 4.4-7.7),R1,2.5161666,No,NA,NA,{A5205EB7-6DF9-4511-AA00-17D282A6DE9A},Single-Family Residential,109491.994140625,1804.5241894916933,1
1733,P(Res),R2,8.25003958,No,NA,NA,{E8DD2900-3594-4699-90BC-44D49FC6BCFC},Residential Duplex,359631.515625,3171.865322360151,2
1734,P(Res),R1C,1.12836041,No,NA,NA,{2B800FA9-D15D-4445-8D3D-45785D85DCEE},Residential Single-Family Cluster,49122.6728515625,936.7196189940186,1
1735,R2-4.25,R2,1.96675476,No,NA,NA,{61798692-0645-43AE-9772-B8D0E6C8066D},Residential Duplex,85526.919921875,1672.8774424378369,2
1736,P(R1),R1,0.96325196,No,NA,NA,{A26684E1-E25E-4AC6-B207-D96B6941178B},Single-Family Residential,41854.35546875,851.0224875618069,1
1737,R2-4.25,R2,0.90338735,No,NA,NA,{685D3AA4-D8CA-44DD-823E-5F6BA466FB7B},Residential Duplex,39297.5595703125,858.79172068899,2
1738,R2-4.25,R2,0.67636353,No,NA,NA,{E29F0589-D185-4E36-AFB7-82F7104CB8ED},Residential Duplex,29458.177734375,786.5361051982429,2
