id,general_pl,Zoning
437,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
438,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
439,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
440,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
441,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
442,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
443,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
444,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
445,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
446,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
447,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-65-A",NA
