gnrl_p_,id,edt_g__,zoning
701 - Low density residential (less than 6 units/Gr. acre),345,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),346,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),347,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),348,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),349,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),350,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),351,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),352,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),353,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),354,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),355,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),356,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),357,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),358,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),359,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),360,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),361,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),362,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),363,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),364,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),365,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),366,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),367,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),368,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),369,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),370,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),371,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),372,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),373,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),374,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),375,701 - Low density residential (less than 6 units/Gr. acre),1
