Entity,Layer,Color,Linetyp,Elevatn,LineWt,RefName,Symblgy,Red,Green,Blue,Shp_STA,Shp_STL,gnrl_p_,id,edt_g__,zoning
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,35362.8955078,797.676115169,SP_NonRes,309,SP_NonRes,0
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,234439.211914,1937.75699025,SP_NonRes,310,SP_NonRes,0
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,1331995.18848,6165.78889496,SP_NonRes,311,SP_NonRes,0
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,331829.674805,2564.33642192,SP_NonRes,312,SP_NonRes,0
LWPolyline,ZM-MU,7,Continuous,0,25,NA,CC-H,96,129,0,859703.070313,4071.88488577,CC-H,313,CC-H,0
LWPolyline,ZM-MU,7,Continuous,0,25,NA,MU,96,129,0,1329559.43066,5685.11302955,MU,314,MU,0
LWPolyline,ZM-P,7,Continuous,0,25,NA,P,126,189,126,254438.791992,7041.64499083,P,315,P,0
LWPolyline,ZM-GC,7,Continuous,0,25,NA,GC,163,255,240,509378.697266,4191.01247402,GC,316,GC,0
LWPolyline,ZM-P,7,Continuous,0,25,NA,P,126,189,126,526348.829102,8909.02183109,P,317,P,0
LWPolyline,ZM-GC,7,Continuous,0,25,NA,GC,163,255,240,3662861.99316,26536.9872575,GC,318,GC,0
LWPolyline,ZM-RVH,7,Continuous,0,25,NA,RVH,178,115,52,60883.4511719,1101.9611667,RVH,319,RVH,2
LWPolyline,ZM-GC,7,Continuous,0,25,NA,GC,163,255,240,446471.456055,5759.78939437,GC,320,GC,0
LWPolyline,ZM-GC,7,Continuous,0,25,NA,GC,163,255,240,1155043.72363,10989.8459831,GC,321,GC,0
LWPolyline,ZM-GC,7,Continuous,0,25,NA,GC,163,255,240,359631.429688,3827.8083081,GC,322,GC,0
LWPolyline,ZM-GC,7,Continuous,0,25,NA,GC,163,255,240,725490.082031,6428.55950352,GC,323,GC,0
LWPolyline,ZM-OS-1,7,Continuous,0,25,NA,OS-1,217,255,204,242670.052734,4135.1561204,OS-1,324,OS-1,0
LWPolyline,ZM-P,7,Continuous,0,25,NA,P,126,189,126,3028168.02344,8896.60182347,P,325,P,0
LWPolyline,ZM-CR,7,Continuous,0,25,NA,CR,191,170,255,624266.793945,4342.79440909,CR,326,CR,0
LWPolyline,ZM-P,7,Continuous,0,25,NA,P,126,189,126,210172.364258,1880.92097167,P,327,P,0
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,392909.946289,2649.4930167,SP_SF,328,SP_SF,1
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,693972.813477,7707.47140244,SP_NonRes,329,SP_NonRes,0
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,79579.3320313,1460.48568492,SP_NonRes,330,SP_NonRes,0
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,501525.577148,2942.1853849,SP_SF,331,SP_SF,1
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,603913.644531,6571.57388543,SP_SF,332,SP_SF,1
LWPolyline,ZM-PS,7,Continuous,0,25,NA,PS,126,157,189,146785.711914,1616.40298474,PS,333,PS,0
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,68971.5224609,1012.2200087,SP_SF,334,SP_SF,1
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,281646.870117,3798.82791303,SP_SF,335,SP_SF,1
