apn,fld_firm_z,gp_values1,gpz_gen_pl,gpz_z_labe,lot_tot_po,parcelid,prc_legal_,prc_puc_co,prc_situs1,prc_situs_,prc_tax_co,site_addre,Zoning,Area_sqmi
093471010,X,Parks & Recreation,PR,OSC,125429.33,23-6467,2.79 AC MOL PTN TR 4 R 227A LYING SELY OF MENLO        ATHERTON CITY LIMIT LN CITY & CO OF S F ATLAS E 2329   PTN PAR 306B CITY OF MENLO PARK PG 48,81,94025,NA,008,NA,0,0.007148302022673
074112570,X,Residential Low Density,RL,R1S,10166.03,23-7396,LOT 3 CAMPO BELLO RSM 119/24-25,01,94025,MENLO PARK,008,5 CAMPO BELLO CT,1,5.77593700698e-4
074343090,X,Residential Low Density,RL,R1S,14273.72,23-6819,LOT 158 SHARON HEIGHTS UNIT NO 4 RSM 54/42 43,01,94025,MENLO PARK,008,960 CONTINENTAL DR,1,8.210159125e-4
074280650,X,Residential Medium Density,RM,R3A(X),86044.2,23-6940,PARCEL B 1.983 AC MOL PARCEL MAP VOL 5/31,05,94025,MENLO PARK,008,2275 SHARON RD 101,2,0.00490339475219
074230110,X,Residential Low Density,RL,R1S,17788.24,23-7098,LOT 104 SHARON HEIGHTS UNIT NO 2 RSM 52/49 50 CITY OF  MENLO PARK,01,94025,MENLO PARK,008,985 CONTINENTAL DR,1,0.001013697313874
074343080,X,Residential Low Density,RL,R1S,13744.37,23-6820,LOT 157 SHARON HEIGHTS UNIT NO 4 RSM 54/42 43,01,94025,MENLO PARK,008,950 CONTINENTAL DR,1,7.9032840313e-4
074230930,X,Residential Low Density,RL,R1S(X),6766.52,23-23493,PARCEL C 0.155 AC MOL PARCEL MAP VOL 39/32,01,94025,MENLO PARK,008,980 LASSEN DR,1,3.85600874147e-4
074230740,X,Residential Low Density,RL,R1S(X),5065.19,23-23485,LOT 40 1000 SHARON PARK RSM 81/45-50,01,94025,MENLO PARK,008,970 LASSEN DR,1,2.88646682733e-4
074230750,X,Residential Low Density,RL,R1S(X),6009.15,23-23486,LOT 41 1000 SHARON PARK RSM 81/45-50,01,94025,MENLO PARK,008,960 LASSEN DR,1,3.42438445234e-4
074230760,X,Residential Low Density,RL,R1S(X),6310.75,23-23487,LOT 42 1000 SHARON PARK RSM 81/45-50,01,94025,MENLO PARK,008,950 LASSEN DR,1,3.59623511153e-4
074112620,X,Residential Low Density,RL,R1S,10254.64,23-7391,LOT 8 CAMPO BELLO RSM 119/24-25,01,94025,MENLO PARK,008,15 SUNRISE CT,1,5.84364267028e-4
074231090,X,Residential Very Low Density,RVL,RES,16002.78,23-7058,LOT 79 SHARON HEIGHTS UNIT NO 13 RSM 63/16 18,01,94025,MENLO PARK,008,1045 WHITNEY DR,1,9.10041120127e-4
074112430,X,Residential Low Density,RL,R1S,10146.29,23-7406,PARCEL C 0.23 AC MOL PARCEL MAP VOL 9/49,01,94025,MENLO PARK,008,140 CAMPO BELLO LN,1,5.74729432552e-4
074230130,X,Residential Low Density,RL,R1S,20471.71,23-7096,LOT 106 SHARON HEIGHTS UNIT NO 2 RSM 52/49 50 CITY OF  MENLO PARK,01,94025,MENLO PARK,008,967 CONTINENTAL DR,1,0.001164124360034
074341140,X,Residential Low Density,RL,R1S,13856.4,23-6834,LOT 131 SHARON HEIGHTS UNIT NO 4 RSM 54/42 43,01,94025,MENLO PARK,008,910 CONTINENTAL DR,1,7.84254905284e-4
074120340,X,Residential Low Density,RL,R1S,10895.46,23-7376,LOT 11 OAK HOLLOW AMEND RSM 121/44-46,01,94025,MENLO PARK,008,20 OAK HOLLOW WAY,1,6.20250312353e-4
074161140,X,Residential Very Low Density,RVL,RES,15641.2,23-7236,LOT 31 SHARON HEIGHTS UNIT NO 13 RSM 63/16 18,01,94025,MENLO PARK,008,1100 TRINITY DR,1,8.95167656403e-4
074112580,X,Residential Low Density,RL,R1S,10228.88,23-7395,LOT 4 CAMPO BELLO RSM 119/24-25,01,94025,MENLO PARK,008,10 SUNRISE CT,1,5.82821398178e-4
074160350,X,Residential Very Low Density,RVL,RES,16129.69,23-7251,LOT 57 SHARON HEIGHTS UNIT NO 13 RSM 63/16 18,01,94025,MENLO PARK,008,1115 TRINITY DR,1,9.18966585889e-4
074230140,X,Residential Low Density,RL,R1S,20580.7,23-7095,LOT 107 SHARON HEIGHTS UNIT NO 2 RSM 52/49 50 CITY OF  MENLO PARK,01,94025,MENLO PARK,008,959 CONTINENTAL DR,1,0.001170957001565
074112610,X,Residential Low Density,RL,R1S,10276.61,23-7392,LOT 7 CAMPO BELLO RSM 119/24-25,01,94025,MENLO PARK,008,25 SUNRISE CT,1,5.8559170565e-4
074341150,X,Residential Low Density,RL,R1S,13733.25,23-6833,LOT 130 SHARON HEIGHTS UNIT NO 4 RSM 54/42 43,01,94025,MENLO PARK,008,940 MONTE ROSA DR,1,7.80648840755e-4
074182060,X,Residential Low Density,RL,R1S,12253.43,23-7206,LOT 83 SHARON HEIGHTS UNIT NO 1 RSM 49/43 44 CITY OF   MENLO PARK,01,94025,MENLO PARK,008,915 MONTE ROSA DR,1,6.99706522553e-4
110670999,X,Residential Low Density,RL,R1S(X),376598,23-866,NA,NA,NA,NA,NA,NO SITE ADDRESS,1,0.021481478812526
074120350,X,Residential Low Density,RL,R1S,12004.58,23-7375,LOT 12 OAK HOLLOW AMEND RSM 121/44-46,01,94025,MENLO PARK,008,10 OAK HOLLOW WAY,1,6.84093009251e-4
074231100,X,Residential Very Low Density,RVL,RES,15759.65,23-7057,LOT 80 SHARON HEIGHTS UNIT NO 13 RSM 63/16 18,01,94025,MENLO PARK,008,1055 WHITNEY DR,1,8.94047331713e-4
